,child_case,head_case,relation,child_pos,head_pos,file_name
1720,Ind,FV,sambanxah,part.,pr. [1] ac. sg. 3,Gold_713.csv
1721,loc,FV,axikaranam,loc. sg. n.,aor. [5] ac. sg. 3,Gold_775.csv
1722,loc,FV,karanam,loc. sg. m.,aor. [5] ac. sg. 3,Gold_775.csv
1723,nom,nom,viseranam,nom. sg. m.,nom. sg. m.,Gold_775.csv
1724,nom,FV,karwa,nom. sg. m.,aor. [5] ac. sg. 3,Gold_775.csv
1725,abl,abl,viseranam,abl. pl. n.,abl. pl. n.,Gold_775.csv
1726,abl,FV,apaxanam,abl. pl. n.,aor. [5] ac. sg. 3,Gold_775.csv
1727,nom,FV,karwqsamanaxikaranam,nom. sg. m.,aor. [5] ac. sg. 3,Gold_775.csv
1728,Ind,nom,sambanxah,prep.,nom. sg. m.,Gold_775.csv
1729,inst,Ind,prawiyogi,i. sg. m.,prep.,Gold_775.csv
1730,Ind,nom,anuyogi,prep.,nom. sg. m.,Gold_775.csv
1731,acc,nom,karma,acc. sg. m.,nom. sg. m.,Gold_775.csv
1732,nom,FV,karwqsamanaxikaranam,nom. sg. m.,aor. [5] ac. sg. 3,Gold_775.csv
1733,FV,ROOT,root,aor. [5] ac. sg. 3,NA,Gold_775.csv
1734,nom,FV,karwa,nom. pl. m.,pr. [2] ac. pl. 3,Gold_184.csv
1735,FV,Ind,samucciwam,pr. [2] ac. pl. 3,conj.,Gold_184.csv
1736,Ind,FV,sambanxah,part.,pr. [2] ac. pl. 3,Gold_184.csv
1737,FV,Ind,samucciwam,pr. [2] ac. pl. 3,conj.,Gold_184.csv
1738,Ind,FV,sambanxah,part.,pr. [2] ac. pl. 3,Gold_184.csv
1739,Ind,ROOT,root,conj.,NA,Gold_184.csv
1740,nom,FV,karwa,nom. sg. m.,pr. [1] ac. sg. 3,Gold_441.csv
1741,acc,FV,karma,acc. sg. m.,pr. [1] ac. sg. 3,Gold_441.csv
1742,FV,ROOT,root,pr. [1] ac. sg. 3,NA,Gold_441.csv
1743,loc,Ind,axikaranam,loc. sg. m.,conj.,Gold_506.csv
1744,Ind,loc,sambanxah,conj.,loc. sg. m.,Gold_506.csv
1745,acc,Ind,karma,acc. sg. n.,conj.,Gold_506.csv
1746,Ind,Ind,purvakalah,conj.,conj.,Gold_506.csv
1747,nom,Ind,karwa,nom. sg. m.,conj.,Gold_506.csv
1748,Ind,FV,karwqsamanaxikaranam,conj.,impft . ac. sg. 3,Gold_506.csv
1749,FV,ROOT,root,impft . ac. sg. 3,NA,Gold_506.csv
1750,Ind,FV,sambanxah,conj.,impft . ac. sg. 3,Gold_506.csv
1751,nom,IV,karwa,nom. du. n.,ca. ppr. ac.,Gold_11.csv
1752,Ind,nom,sambanxah,prep.,nom. du. n.,Gold_11.csv
1753,loc,loc,viseranam,loc. pl. m.,loc. pl. m.,Gold_11.csv
1754,loc,IV,axikaranam,loc. pl. m.,abs.,Gold_11.csv
1755,IV,IV,purvakalah,abs.,ca. ppr. ac.,Gold_11.csv
1756,acc,IV,karma,acc. sg. *,ca. ppr. ac.,Gold_11.csv
1757,IV,ROOT,root,ca. ppr. ac.,NA,Gold_11.csv
1758,Ind,FV,sambanxah,conj.,impft . ac. pl. 3,Gold_1389.csv
1759,nom,nom,viseranam,nom. pl. n.,nom. pl. n.,Gold_1389.csv
1760,nom,FV,karwa,nom. pl. n.,impft . ac. pl. 3,Gold_1389.csv
1761,acc,acc,viseranam,acc. sg. m.,acc. sg. m.,Gold_1389.csv
1762,acc,acc,viseranam,acc. sg. m.,acc. sg. m.,Gold_1389.csv
1763,acc,FV,karma,acc. sg. m.,impft . ac. pl. 3,Gold_1389.csv
1764,nom,Ind,prawiyogi,nom. pl. n.,conj.,Gold_1389.csv
1765,Ind,nom,anuyogi,conj.,nom. pl. n.,Gold_1389.csv
1766,FV,ROOT,root,impft . ac. pl. 3,NA,Gold_1389.csv
1767,nom,nom,viseranam,nom. sg. m.,nom. sg. m.,Gold_662.csv
1768,nom,FV,karwa,nom. sg. m.,ca. pr. ps. sg. 1,Gold_662.csv
1769,Ind,FV,sambanxah,conj.,ca. pr. ps. sg. 1,Gold_662.csv
1770,FV,ROOT,root,ca. pr. ps. sg. 1,NA,Gold_662.csv
1771,nom,FV,sambanxah,nom. sg. f.,ca. pr. ps. sg. 1,Gold_662.csv
1772,g,inst,rartisambanxah,g. sg. n.,i. sg. m.,Gold_926.csv
1773,inst,FV,hewuh,i. sg. m.,impft. [4] ac. pl. 3,Gold_926.csv
1774,FV,ROOT,root,impft. [4] ac. pl. 3,NA,Gold_926.csv
1775,nom,FV,karwa,nom. sg. m.,pr. md. sg. 3,Gold_826.csv
1776,nom,nom,viseranam,nom. sg. m.,nom. sg. m.,Gold_826.csv
1777,loc,loc,viseranam,loc. pl. n.,loc. pl. m.,Gold_826.csv
1778,Ind,loc,sambanxah,conj.,loc. pl. n.,Gold_826.csv
1779,loc,nom,axikaranam,loc. pl. m.,nom. sg. m.,Gold_826.csv
1780,loc,FV,axikaranam,loc. pl. m.,pr. md. sg. 3,Gold_826.csv
1781,nom,Ind,prawiyogi,nom. sg. m.,conj.,Gold_826.csv
1782,Ind,nom,anuyogi,conj.,nom. sg. m.,Gold_826.csv
1783,acc,nom,karma,acc. sg. f.,nom. sg. m.,Gold_826.csv
1784,nom,FV,bavalakranasapwami_samanakalah,nom. sg. m.,pr. md. sg. 3,Gold_826.csv
1785,IV,FV,prayojanam,inf.,pr. md. sg. 3,Gold_826.csv
1786,FV,ROOT,root,pr. md. sg. 3,NA,Gold_826.csv
1787,g,g,viseranam,g. sg. m.,g. sg. m.,Gold_819.csv
1788,g,loc,rartisambanxah,g. sg. m.,loc. sg. f.,Gold_819.csv
1789,loc,loc,viseranam,loc. sg. f.,loc. sg. f.,Gold_819.csv
1790,loc,FV,axikaranam,loc. sg. f.,impft . md. sg. 3,Gold_819.csv
1791,nom,FV,karwa,nom. pl. n.,impft . md. sg. 3,Gold_819.csv
1792,acc,FV,viseranam,acc. sg. m.,impft . md. sg. 3,Gold_819.csv
1793,FV,Ind,samucciwam,impft . md. sg. 3,conj.,Gold_819.csv
1794,Ind,FV,axikaranam,conj.,pft. ac. pl. 3,Gold_819.csv
1795,nom,nom,viseranam,nom. pl. m.,nom. pl. f.,Gold_819.csv
1796,nom,FV,karwa,nom. pl. f.,pft. ac. pl. 3,Gold_819.csv
1797,Ind,FV,sambanxah,conj.,pft. ac. pl. 3,Gold_819.csv
1798,FV,Ind,samucciwam,pft. ac. pl. 3,conj.,Gold_819.csv
1799,Ind,ROOT,root,conj.,NA,Gold_819.csv
1800,nom,FV,karwa,nom. sg. f.,ca. pr. ac. sg. 3,Gold_1261.csv
1801,inst,FV,karanam,i. sg. m.,ca. pr. ac. sg. 3,Gold_1261.csv
1802,acc,acc,sambanxah,acc. sg. m.,acc. sg. m.,Gold_1261.csv
1803,acc,FV,sambanxah,acc. sg. m.,ca. pr. ac. sg. 3,Gold_1261.csv
1804,FV,ROOT,root,ca. pr. ac. sg. 3,NA,Gold_1261.csv
1805,Ind,FV,sambanxah,part.,ca. pr. ac. sg. 3,Gold_1261.csv
1806,adv,FV,sambanxah,adv.,imp. [2] md. sg. 3,Gold_17.csv
1807,loc,FV,axikaranam,loc. sg. m.,imp. [2] md. sg. 3,Gold_17.csv
1808,g,acc,rartisambanxah,g. sg. m.,acc. sg. n.,Gold_17.csv
1809,acc,FV,karma,acc. sg. n.,imp. [2] md. sg. 3,Gold_17.csv
1810,nom,FV,karwa,nom. du. m.,imp. [2] md. sg. 3,Gold_17.csv
1811,IV,FV,purvakalah,ca. pfp. [1],imp. [2] md. sg. 3,Gold_17.csv
1812,nom,FV,karwqsamanaxikaranam,nom. du. m.,imp. [2] md. sg. 3,Gold_17.csv
1813,FV,ROOT,root,imp. [2] md. sg. 3,NA,Gold_17.csv
1814,nom,nom,viseranam,nom. sg. m.,nom. sg. m.,Gold_154.csv
1815,nom,FV,karwa,nom. sg. m.,pr. ps. sg. 3,Gold_154.csv
1816,inst,inst,viseranam,i. pl. f.,i. pl. f.,Gold_154.csv
1817,inst,FV,karanam,i. pl. f.,pr. ps. sg. 3,Gold_154.csv
1818,FV,ROOT,root,pr. ps. sg. 3,NA,Gold_154.csv
1819,adv,FV,kriyaviseranam,adv.,pr. ps. sg. 3,Gold_154.csv
1820,acc,acc,viseranam,acc. sg. n.,acc. sg. n.,Gold_99.csv
1821,acc,Ind,karma,acc. sg. n.,conj.,Gold_99.csv
1822,Ind,Ind,sambanxah,conj.,conj.,Gold_99.csv
1823,Ind,FV,prayojanam,conj.,pp. . sg. ,Gold_99.csv
1824,acc,FV,karma,acc. sg. m.,pp. . sg. ,Gold_99.csv
1825,FV,ROOT,root,pp. . sg. ,NA,Gold_99.csv
1826,FV,adv,prawiyogi,pft. md. sg. 3,adv.,Gold_1027.csv
1827,Ind,adv,sambanxah,prep.,adv.,Gold_1027.csv
1828,adv,nom,anuyogi,adv.,nom. sg. m.,Gold_1027.csv
1829,loc,nom,axikaranam,loc. sg. m.,nom. sg. m.,Gold_1027.csv
1830,Ind,loc,sambanxah,conj.,loc. sg. m.,Gold_1027.csv
1831,nom,IV,karwa,nom. sg. m.,pp.,Gold_1027.csv
1832,IV,ROOT,root,pp.,NA,Gold_1027.csv
1833,nom,nom,viseranam,nom. sg. m.,nom. sg. m.,Gold_1433.csv
1834,nom,nom,viseranam,nom. sg. m.,nom. sg. m.,Gold_1433.csv
1835,nom,nom,viseranam,nom. sg. m.,nom. sg. m.,Gold_1433.csv
1836,nom,nom,viseranam,nom. sg. m.,nom. sg. m.,Gold_1433.csv
1837,nom,nom,viseranam,nom. sg. m.,nom. sg. m.,Gold_1433.csv
1838,nom,nom,viseranam,nom. sg. m.,nom. sg. m.,Gold_1433.csv
1839,nom,FV,karwa,nom. sg. m.,pr. ac. sg. 3,Gold_1433.csv
1840,nom,nom,viseranam,nom. sg. m.,nom. sg. m.,Gold_1433.csv
1841,Ind,nom,sambanxah,conj.,nom. sg. m.,Gold_1433.csv
1842,nom,FV,karwqsamanaxikaranam,nom. sg. m.,pr. ac. sg. 3,Gold_1433.csv
1843,FV,ROOT,root,pr. ac. sg. 3,NA,Gold_1433.csv
1844,nom,FV,karwa,nom. sg. m.,impft. [6] ac. sg. 3,Gold_1271.csv
1845,acc,FV,karma,acc. sg. m.,impft. [6] ac. sg. 3,Gold_1271.csv
1846,g,acc,rartisambanxah,g. sg. m.,acc. sg. m.,Gold_1271.csv
1847,acc,FV,karma,acc. sg. m.,impft. [6] ac. sg. 3,Gold_1271.csv
1848,FV,ROOT,root,impft. [6] ac. sg. 3,NA,Gold_1271.csv
1849,nom,IV,karwa,nom. sg. *,ppa.,Gold_263.csv
1850,abl,IV,hewuh,abl. pl. n.,ppa.,Gold_263.csv
1851,acc,IV,karma,acc. sg. n.,ppa.,Gold_263.csv
1852,IV,ROOT,root,ppa.,NA,Gold_263.csv
1853,voc,FV,samboxyah,voc. sg. m.,imp. [1] md. sg. 2,Gold_308.csv
1854,Ind,FV,sambanxah,part.,imp. [1] md. sg. 2,Gold_308.csv
1855,FV,ROOT,root,imp. [1] md. sg. 2,NA,Gold_308.csv
1856,Ind,loc,viseranam,conj.,loc. pl. n.,Gold_457.csv
1857,loc,loc,viseranam,loc. pl. n.,loc. pl. n.,Gold_457.csv
1858,Ind,loc,sambanxah,conj.,loc. pl. n.,Gold_457.csv
1859,loc,loc,viseranam,loc. pl. n.,loc. pl. n.,Gold_457.csv
1860,loc,FV,axikaranam,loc. pl. n.,pft. ac. pl. 3,Gold_457.csv
1861,nom,nom,viseranam,nom. pl. n.,nom. pl. n.,Gold_457.csv
1862,nom,FV,karwa,nom. pl. n.,pft. ac. pl. 3,Gold_457.csv
1863,Ind,Ind,sambanxah,conj.,conj.,Gold_457.csv
1864,Ind,nom,viseranam,conj.,nom. sg. n.,Gold_457.csv
1865,Ind,Ind,sambanxah,conj.,conj.,Gold_457.csv
1866,nom,FV,apaxanam,nom. sg. n.,pft. ac. pl. 3,Gold_457.csv
1867,Ind,FV,sambanxah,conj.,pft. ac. pl. 3,Gold_457.csv
1868,acc,FV,karma,acc. sg. n.,pft. ac. pl. 3,Gold_457.csv
1869,FV,ROOT,root,pft. ac. pl. 3,NA,Gold_457.csv
1870,nom,IV,karwqsamanaxikaranam,nom. sg. f.,abs.,Gold_751.csv
1871,IV,FV,purvakalah,abs.,ca. opt. ac. sg. 3,Gold_751.csv
1872,nom,FV,karwa,nom. sg. f.,ca. opt. ac. sg. 3,Gold_751.csv
1873,acc,acc,viseranam,acc. sg. f.,acc. sg. f.,Gold_751.csv
1874,acc,FV,karma,acc. sg. f.,ca. opt. ac. sg. 3,Gold_751.csv
1875,FV,Ind,prawiyogi,ca. opt. ac. sg. 3,conj.,Gold_751.csv
1876,Ind,FV,sambanxah,part.,ca. opt. ac. sg. 3,Gold_751.csv
1877,Ind,adv,sambanxah,conj.,adv.,Gold_751.csv
1878,acc,acc,viseranam,acc. sg. f.,acc. pl. f.,Gold_751.csv
1879,acc,FV,karma,acc. pl. f.,opt. [2] ac. sg. 3,Gold_751.csv
1880,adv,Ind,anuyogi,adv.,conj.,Gold_751.csv
1881,acc,FV,karmasamanaxikaranam,acc. sg. m.,opt. [2] ac. sg. 3,Gold_751.csv
1882,acc,acc,viseranam,acc. sg. m.,acc. sg. m.,Gold_751.csv
1883,Ind,FV,sambanxah,part.,opt. [2] ac. sg. 3,Gold_751.csv
1884,FV,Ind,samucciwam,opt. [2] ac. sg. 3,conj.,Gold_751.csv
1885,Ind,FV,sambanxah,part.,opt. [10] ac. sg. 3,Gold_751.csv
1886,Ind,ROOT,root,conj.,NA,Gold_751.csv
1887,FV,Ind,samucciwam,opt. [10] ac. sg. 3,conj.,Gold_751.csv
1888,nom,nom,viseranam,nom. sg. m.,nom. sg. m.,Gold_256.csv
1889,nom,IV,karwa,nom. sg. m.,pp.,Gold_256.csv
1890,acc,acc,viseranam,acc. sg. m.,acc. sg. m.,Gold_256.csv
1891,acc,IV,karma,acc. sg. m.,pp.,Gold_256.csv
1892,acc,IV,karma,acc. sg. f.,inf.,Gold_256.csv
1893,IV,IV,prayojanam,inf.,pp.,Gold_256.csv
1894,loc,IV,axikaranam,loc. sg. n.,pp.,Gold_256.csv
1895,IV,ROOT,root,pp.,NA,Gold_256.csv
1896,acc,Ind,upapaxasambanxah,acc. sg. m.,conj.,Gold_196.csv
1897,Ind,FV,axikaranam,conj.,impft. md. sg. 3,Gold_196.csv
1898,loc,IV,axikaranam,loc. sg. f.,abs.,Gold_196.csv
1899,acc,acc,viseranam,acc. pl. n.,acc. pl. n.,Gold_196.csv
1900,acc,Ind,samucciwam,acc. pl. n.,conj.,Gold_196.csv
1901,acc,acc,viseranam,acc. sg. n.,acc. sg. n.,Gold_196.csv
1902,acc,Ind,samucciwam,acc. sg. n.,conj.,Gold_196.csv
1903,Ind,IV,karma,conj.,abs.,Gold_196.csv
1904,IV,FV,purvakalah,abs.,impft. md. sg. 3,Gold_196.csv
1905,inst,FV,karwa,inst. pl. m.,impft. md. sg. 3,Gold_196.csv
1906,g,Ind,upapaxasambanxah,g. sg. m.,conj.,Gold_196.csv
1907,Ind,FV,axikaranam,conj.,impft. md. sg. 3,Gold_196.csv
1908,inst,FV,karanam,inst. sg. f.,impft. md. sg. 3,Gold_196.csv
1909,Ind,FV,kriyaviseranam,conj.,impft. md. sg. 3,Gold_196.csv
1910,FV,ROOT,root,impft. md. sg. 3,NA,Gold_196.csv
1911,loc,IV,axikaranam,loc. sg. m.,pp.,Gold_991.csv
1912,loc,IV,axikaranam,loc. sg. m.,pp.,Gold_991.csv
1913,Ind,loc,sambanxah,conj.,loc. sg. m.,Gold_991.csv
1914,loc,IV,axikaranam,loc. pl. m.,pp.,Gold_991.csv
1915,IV,ROOT,root,pp.,NA,Gold_991.csv
1916,adv,FV,sambanxah,adv.,impft. [6] ac. sg. 3,Gold_309.csv
1917,nom,FV,karwa,nom. sg. m.,impft. [6] ac. sg. 3,Gold_309.csv
1918,g,acc,rartisambanxah,g. sg. n.,acc. sg. f.,Gold_309.csv
1919,acc,IV,karma,acc. sg. f.,abs.,Gold_309.csv
1920,Ind,acc,sambanxah,prep.,acc. sg. f.,Gold_309.csv
1921,acc,acc,viseranam,acc. sg. f.,acc. sg. f.,Gold_309.csv
1922,acc,IV,karmasamanaxikaranam,acc. sg. f.,abs.,Gold_309.csv
1923,IV,FV,purvakalah,abs.,impft. [6] ac. sg. 3,Gold_309.csv
1924,abl,FV,apaxanam,abl. pl. n.,impft. [6] ac. sg. 3,Gold_309.csv
1925,acc,acc,viseranam,acc. sg. n.,acc. sg. n.,Gold_309.csv
1926,Ind,acc,sambanxah,conj.,acc. sg. n.,Gold_309.csv
1927,acc,FV,karma,acc. sg. n.,impft. [6] ac. sg. 3,Gold_309.csv
1928,Ind,FV,sambanxah,part.,impft. [6] ac. sg. 3,Gold_309.csv
1929,Ind,Ind,sambanxah,prep.,part.,Gold_309.csv
1930,FV,ROOT,root,impft. [6] ac. sg. 3,NA,Gold_309.csv
1931,nom,FV,karwa,nom. sg. m.,impft. [10] ac. sg. 3,Gold_1060.csv
1932,acc,FV,karma,acc. sg. m.,impft. [10] ac. sg. 3,Gold_1060.csv
1933,acc,FV,karma,acc. sg. n.,impft. [10] ac. sg. 3,Gold_1060.csv
1934,FV,ROOT,root,impft. [10] ac. sg. 3,NA,Gold_1060.csv
1935,inst,Ind,prawiyogi,inst. sg. m.,conj.,Gold_1310.csv
1936,Ind,acc,anuyogi,conj.,acc. du. n.,Gold_1310.csv
1937,acc,FV,karwa,acc. du. n.,pp. . pl. ,Gold_1310.csv
1938,Ind,FV,sambanxah,conj.,pp. . pl. ,Gold_1310.csv
1939,FV,ROOT,root,pp. . pl. ,NA,Gold_1310.csv
1940,g,FV,rartisambanxah,g. sg. n.,pr. [8] ac. sg. 3,Gold_1445.csv
1941,acc,acc,viseranam,acc. sg. f.,acc. sg. f.,Gold_1445.csv
1942,Ind,acc,sambanxah,conj.,acc. sg. f.,Gold_1445.csv
1943,acc,FV,karma,acc. sg. f.,pr. [8] ac. sg. 3,Gold_1445.csv
1944,nom,FV,karwa,nom. sg. m.,pr. [8] ac. sg. 3,Gold_1445.csv
1945,acc,FV,karmasamanaxikaranam,acc. sg. f.,pr. [8] ac. sg. 3,Gold_1445.csv
1946,FV,ROOT,root,pr. [8] ac. sg. 3,NA,Gold_1445.csv
1947,Ind,FV,sambanxah,part.,pr. [8] ac. sg. 3,Gold_1445.csv
1948,Ind,Ind,samucciwam,conj.,conj.,Gold_367.csv
1949,Ind,Ind,axikaranam,conj.,conj.,Gold_367.csv
1950,acc,Ind,karma,acc. pl. m.,conj.,Gold_367.csv
1951,Ind,acc,sambanxah,conj.,acc. pl. m.,Gold_367.csv
1952,acc,Ind,karma,acc. pl. m.,conj.,Gold_367.csv
1953,Ind,FV,purvakalah,conj.,impft. ac. sg. 3,Gold_367.csv
1954,acc,Ind,karma,acc. sg. m.,conj.,Gold_367.csv
1955,Ind,FV,purvakalah,conj.,impft. ac. sg. 3,Gold_367.csv
1956,FV,Ind,samucciwam,impft. ac. sg. 3,conj.,Gold_367.csv
1957,Ind,ROOT,root,conj.,NA,Gold_367.csv
1958,loc,FV,axikaranam,loc. sg. f.,pft. ac. pl. 3,Gold_1335.csv
1959,nom,FV,karwa,nom. pl. m.,pft. ac. pl. 3,Gold_1335.csv
1960,Ind,FV,axikaranam,conj.,pft. ac. pl. 3,Gold_1335.csv
1961,acc,acc,viseranam,acc. pl. f.,acc. pl. f.,Gold_1335.csv
1962,acc,acc,viseranam,acc. pl. f.,acc. pl. f.,Gold_1335.csv
1963,Ind,FV,axikaranam,conj.,pft. ac. pl. 3,Gold_1335.csv
1964,acc,acc,viseranam,acc. pl. f.,acc. pl. f.,Gold_1335.csv
1965,acc,Ind,prawiyogi,acc. pl. f.,conj.,Gold_1335.csv
1966,Ind,FV,anuyogi,conj.,pft. ac. pl. 3,Gold_1335.csv
1967,acc,FV,karma,acc. pl. f.,pft. ac. pl. 3,Gold_1335.csv
1968,FV,ROOT,root,pft. ac. pl. 3,NA,Gold_1335.csv
1969,nom,FV,karwa,nom. sg. m.,aor. [5] ac. sg. 3,Gold_1427.csv
1970,adv,FV,sambanxah,adv.,aor. [5] ac. sg. 3,Gold_1427.csv
1971,FV,Ind,samucciwam,aor. [5] ac. sg. 3,conj.,Gold_1427.csv
1972,Ind,FV,sambanxah,conj.,impft. [1] md. sg. 3,Gold_1427.csv
1973,loc,FV,axikaranam,loc. sg. m.,impft. [1] md. sg. 3,Gold_1427.csv
1974,FV,Ind,samucciwam,impft. [1] md. sg. 3,conj.,Gold_1427.csv
1975,Ind,ROOT,root,conj.,NA,Gold_1427.csv
1976,nom,nom,viseranam,nom. sg. n.,nom. sg. n.,Gold_346.csv
1977,g,nom,rartisambanxah,g. sg. f.,nom. sg. n.,Gold_346.csv
1978,nom,FV,karwa,nom. sg. n.,pr. ac. sg. 3,Gold_346.csv
1979,Ind,FV,viseranam,conj.,pr. ac. sg. 3,Gold_346.csv
1980,g,nom,rartisambanxah,g. pl. f.,nom. sg. m.,Gold_346.csv
1981,nom,FV,karwqsamanaxikaranam,nom. sg. m.,pr. ac. sg. 3,Gold_346.csv
1982,Ind,nom,sambanxah,conj.,nom. sg. m.,Gold_346.csv
1983,FV,Ind,samucciwam,pr. ac. sg. 3,conj.,Gold_346.csv
1984,Ind,Ind,sambanxah,conj.,conj.,Gold_346.csv
1985,nom,Ind,viseranam,nom. sg. f.,conj.,Gold_346.csv
1986,inst,Ind,karwa,inst. sg. m.,conj.,Gold_346.csv
1987,inst,inst,viseranam,inst. sg. m.,inst. sg. m.,Gold_346.csv
1988,Ind,FV,purvakalah,conj.,impft . ac. sg. 3,Gold_346.csv
1989,inst,FV,karwa,inst. sg. n.,pp. . sg. ,Gold_346.csv
1990,Ind,inst,sambanxah,conj.,inst. sg. n.,Gold_346.csv
1991,FV,FV,karwa,pp. . sg. ,impft . ac. sg. 3,Gold_346.csv
1992,FV,Ind,samucciwam,impft . ac. sg. 3,conj.,Gold_346.csv
1993,Ind,ROOT,root,conj.,NA,Gold_346.csv
1994,loc,nom,axikaranam,loc. sg. m.,nom. sg. f.,Gold_1256.csv
1995,loc,nom,axikaranam,loc. sg. n.,nom. sg. f.,Gold_1256.csv
1996,adv,nom,karwa,adv.,nom. sg. f.,Gold_1256.csv
1997,nom,ROOT,root,nom. sg. f.,NA,Gold_1256.csv
1998,nom,g,karwa,nom. sg. n.,g. sg. m.,Gold_938.csv
1999,acc,acc,viseranam,acc. pl. f.,acc. pl. f.,Gold_938.csv
2000,acc,acc,viseranam,acc. pl. f.,acc. pl. f.,Gold_938.csv
2001,acc,g,karma,acc. pl. f.,g. sg. m.,Gold_938.csv
2002,g,FV,bavalakranasapwami_samanakalah,g. sg. m.,pr. ac. sg. 3,Gold_938.csv
2003,g,nom,rartisambanxah,g. sg. m.,nom. sg. m.,Gold_938.csv
2004,nom,FV,karwa,nom. sg. m.,pr. ac. sg. 3,Gold_938.csv
2005,inst,inst,viseranam,inst. sg. n.,inst. sg. n.,Gold_938.csv
2006,inst,FV,karanam,inst. sg. n.,pr. ac. sg. 3,Gold_938.csv
2007,acc,FV,karma,acc. sg. n.,pr. ac. sg. 3,Gold_938.csv
2008,FV,ROOT,root,pr. ac. sg. 3,NA,Gold_938.csv
2009,loc,FV,axikaranam,loc. sg. f.,impft. [1] md. sg. 3,Gold_1495.csv
2010,acc,acc,viseranam,acc. sg. f.,acc. sg. f.,Gold_1495.csv
2011,acc,FV,karma,acc. sg. f.,impft. [1] md. sg. 3,Gold_1495.csv
2012,nom,FV,karwa,nom. sg. m.,impft. [1] md. sg. 3,Gold_1495.csv
2013,acc,acc,viseranam,acc. sg. m.,acc. sg. m.,Gold_1495.csv
2014,Ind,acc,sambanxah,prep.,acc. sg. m.,Gold_1495.csv
2015,acc,FV,karma,acc. sg. m.,impft. [1] md. sg. 3,Gold_1495.csv
2016,FV,ROOT,root,impft. [1] md. sg. 3,NA,Gold_1495.csv
2017,nom,nom,viseranam,nom. pl. f.,nom. pl. f.,Gold_659.csv
2018,nom,nom,karwa,nom. pl. f.,nom. sg. f.,Gold_659.csv
2019,inst,nom,karanam,inst. sg. m.,nom. sg. f.,Gold_659.csv
2020,acc,nom,karma,acc. sg. n.,nom. sg. f.,Gold_659.csv
2021,nom,g,viseranam,nom. sg. f.,g. sg. f.,Gold_659.csv
2022,g,loc,rartisambanxah,g. sg. f.,loc. sg. n.,Gold_659.csv
2023,loc,FV,axikaranam,loc. sg. n.,pft. ac. sg. 1,Gold_659.csv
2024,nom,FV,karwa,nom. sg. m.,pft. ac. sg. 1,Gold_659.csv
2025,nom,Ind,prawiyogi,nom. sg. f.,conj.,Gold_659.csv
2026,Ind,nom,anuyogi,conj.,nom. sg. m.,Gold_659.csv
2027,acc,FV,karma,acc. sg. m.,pft. ac. sg. 1,Gold_659.csv
2028,FV,ROOT,root,pft. ac. sg. 1,NA,Gold_659.csv
2029,loc,nom,axikaranam,loc. pl. m.,nom. sg. n.,Gold_722.csv
2030,nom,nom,viseranam,nom. sg. m.,nom. sg. m.,Gold_722.csv
2031,g,nom,rartisambanxah,g. sg. f.,nom. sg. m.,Gold_722.csv
2032,nom,nom,viseranam,nom. sg. m.,nom. sg. m.,Gold_722.csv
2033,nom,FV,karwa,nom. sg. m.,impft. ac. sg. 3,Gold_722.csv
2034,Ind,FV,kriyaviseranam,conj.,impft. ac. sg. 3,Gold_722.csv
2035,acc,acc,viseranam,acc. sg. f.,acc. sg. f.,Gold_722.csv
2036,acc,FV,karma,acc. sg. f.,impft. ac. sg. 3,Gold_722.csv
2037,FV,Ind,samucciwam,impft. ac. sg. 3,conj.,Gold_722.csv
2038,inst,inst,viseranam,inst. pl. m.,inst. pl. m.,Gold_722.csv
2039,inst,FV,karwa,inst. pl. m.,impft. md. sg. 3,Gold_722.csv
2040,nom,FV,karma,nom. sg. n.,impft. md. sg. 3,Gold_722.csv
2041,dat,dat,viseranam,dat. sg. f.,dat. sg. f.,Gold_722.csv
2042,dat,Ind,upapaxasambanxah,dat. sg. f.,conj.,Gold_722.csv
2043,Ind,FV,sambanxah,conj.,impft. md. sg. 3,Gold_722.csv
2044,FV,Ind,samucciwam,impft. md. sg. 3,conj.,Gold_722.csv
2045,Ind,ROOT,root,conj.,NA,Gold_722.csv
2046,g,nom,viseranam,g. sg. n.,nom. pl. m.,Gold_1481.csv
2047,nom,FV,karwa,nom. pl. m.,pr. ac. pl. 3,Gold_1481.csv
2048,nom,FV,karwqsamanaxikaranam,nom. pl. m.,pr. ac. pl. 3,Gold_1481.csv
2049,FV,ROOT,root,pr. ac. pl. 3,NA,Gold_1481.csv
2050,nom,nom,karwa,nom. sg. m.,nom. sg. m.,Gold_825.csv
2051,abl,g,apaxanam,abl. sg. n.,g. sg. n.,Gold_825.csv
2052,g,g,viseranam,g. sg. n.,g. sg. n.,Gold_825.csv
2053,g,nom,rartisambanxah,g. sg. n.,nom. sg. m.,Gold_825.csv
2054,acc,nom,karma,acc. sg. n.,nom. sg. m.,Gold_825.csv
2055,nom,ROOT,root,nom. sg. m.,NA,Gold_825.csv
2056,g,nom,rartisambanxah,g. pl. m.,nom. pl. m.,Gold_691.csv
2057,nom,FV,karwa,nom. pl. m.,pr. [1] ac. pl. 3,Gold_691.csv
2058,Ind,nom,sambanxah,conj.,nom. pl. m.,Gold_691.csv
2059,loc,FV,axikaranam,loc. sg. m.,pr. [1] ac. pl. 3,Gold_691.csv
2060,FV,ROOT,root,pr. [1] ac. pl. 3,NA,Gold_691.csv
